StartFrame,EndFrame,PersonID,ShotName,range_ax,range_ay,range_az,range_gx,range_gy,range_gz,range_acc_mag,range_gyro_mag,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,min_acc_mag,min_gyro_mag,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,max_acc_mag,max_gyro_mag,avg_ax,avg_ay,avg_az,avg_gx,avg_gy,avg_gz,avg_acc_mag,avg_gyro_mag,absavg_ax,absavg_ay,absavg_az,absavg_gx,absavg_gy,absavg_gz,absavg_acc_mag,absavg_gyro_mag,kurtosis_f_ax,kurtosis_f_ay,kurtosis_f_az,kurtosis_f_gx,kurtosis_f_gy,kurtosis_f_gz,kurtosis_f_acc_mag,kurtosis_f_gyro_mag,kurtosis_p_ax,kurtosis_p_ay,kurtosis_p_az,kurtosis_p_gx,kurtosis_p_gy,kurtosis_p_gz,kurtosis_p_acc_mag,kurtosis_p_gyro_mag,skewness_statistic_ax,skewness_statistic_ay,skewness_statistic_az,skewness_statistic_gx,skewness_statistic_gy,skewness_statistic_gz,skewness_statistic_acc_mag,skewness_statistic_gyro_mag,skewness_pvalue_ax,skewness_pvalue_ay,skewness_pvalue_az,skewness_pvalue_gx,skewness_pvalue_gy,skewness_pvalue_gz,skewness_pvalue_acc_mag,skewness_pvalue_gyro_mag,entropy_acc_mag,entropy_gyro_mag,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,std_acc_mag,std_gyro_mag,anglebetween_ax_ay,anglebetween_ay_az,anglebetween_ax_az,anglebetween_gx_gy,anglebetween_gy_gz,anglebetween_gx_gz,iqr_ax,iqr_ay,iqr_az,iqr_gx,iqr_gy,iqr_gz,iqr_acc_mag,iqr_gyro_mag,maxmin_relative_pos_ax,maxmin_relative_pos_ay,maxmin_relative_pos_az,maxmin_relative_pos_gx,maxmin_relative_pos_gy,maxmin_relative_pos_gz,maxmin_relative_pos_acc_mag,maxmin_relative_pos_gyro_mag
759,772,p3,bo,1.6894,2.03192,0.95965,262.68768,341.61377,499.99237,2.050131019196346,422.92170220663706,-1.7486,-0.03198,-0.57379,-250.0,-250.0,-250.0,0.6111525719491,10.086594547844184,-0.0592,1.99994,0.38586,12.68768,91.61377,249.99237,2.661283591145446,433.00829675448125,-0.49084923076923076,1.040879230769231,-0.14356000000000002,-45.35968384615386,-25.851323076923073,2.3780223076923086,1.2655864588328938,110.20067549030283,0.49084923076923076,1.0457992307692308,0.2406153846153846,51.055908461538465,51.00837230769231,73.74338076923077,1.2655864588328938,110.20067549030283,0.018174789966480365,1.4682800077662845,0.2178135675512194,0.777615475921317,2.217173672650457,0.49050706419680745,1.1595880798950295,-0.03291819583896061,3.0181747899664804,4.4682800077662845,3.2178135675512194,3.777615475921317,5.217173672650457,3.4905070641968075,4.1595880798950295,2.9670818041610394,-2.249776267334521,-0.01943807033851998,0.9985552757026254,-2.485036634905443,-2.5669084902476538,0.14059019187463895,2.6191951792685666,2.0549300240992014,0.024463151279115768,0.9844916404006685,0.3180101748808135,0.012953810303667495,0.010260968745833713,0.8881936970246971,0.00881375028894545,0.039885764009603204,2.4841227310117335,1.878516920950655,0.5434167243181232,0.4518955550611487,0.23537630385275535,79.97274741829537,79.96710400848708,122.31004955247873,0.5460551827245614,135.41559810336398,2.436372106645056,2.155899806535573,1.5150438152916252,0.8105033519483142,2.410833947726746,1.7848561590778826,0.4458,0.09387999999999996,0.15331999999999998,101.70746,66.35285,20.94269,0.1203393880249295,226.30996769218612,3,1,-3,-4,-2,2,1,-5
772,785,p3,bo,3.55737,2.05151,2.82489,379.14275999999995,332.55005,499.99237,2.478456320557897,427.27614751436414,-1.55743,-0.05157,-0.82495,-129.15039,-82.55768,-250.0,0.9855413715314035,5.7233388301934385,1.99994,1.99994,1.99994,249.99237,249.99237,249.99237,3.4639976920893005,432.99948634455757,-0.21597,1.0190161538461537,0.006259230769230769,5.980270769230769,32.970722307692306,2.4637076923076906,1.3727152193489354,106.88258421153901,0.5236530769230769,1.0269499999999998,0.48798538461538465,45.46414923076923,54.94103153846153,68.83591846153845,1.3727152193489354,106.88258421153901,3.60956551818074,1.9265112129316329,2.1627015557082787,3.230009502167361,1.5660491191744121,1.1411344170505764,3.5778869758159013,0.8922993151034029,6.60956551818074,4.926511212931633,5.162701555708279,6.230009502167361,4.566049119174412,4.141134417050576,6.577886975815901,3.892299315103403,2.5396287915578135,-0.2392715901881841,2.952060537260916,2.5612682261999926,2.40481520352876,0.21361846465836246,3.445817635026725,2.4371600225394747,0.01109701794455339,0.8108949934075718,0.003156610385214433,0.01042908027823963,0.01618064563108419,0.8308445990435931,0.0005693344313523894,0.014803126881553899,2.4645440648343317,1.9552569540035782,0.7528997633457949,0.4365800786451696,0.7215563247001531,83.71483966310352,81.12794471212703,112.11828148475995,0.6919774676012248,125.9580964128532,1.6179588224014017,1.2877068524158268,1.15031138484875,0.7857435697964299,0.9917351565617691,0.4916868765958422,0.19452,0.13866999999999996,0.16918999999999998,26.054380000000002,66.87164,26.07727,0.11971315441380104,151.9452877598593,2,1,1,1,-2,2,1,4
825,838,p3,bo,1.87762,0.9391400000000001,2.25525,322.02911,379.94384,376.51062,2.052115861690769,320.1472672667854,-2.0,0.72797,-2.0,-250.0,-167.16766,-250.0,0.963700774462696,22.750737153538562,-0.12238,1.66711,0.25525,72.02911,212.77618,126.51062,3.015816636153465,342.89800442032396,-0.5075969230769231,1.059883846153846,-0.32003461538461536,-43.8660853846154,19.551203846153847,-3.6139861538461537,1.3490971532374112,122.53091024483864,0.5075969230769231,1.059883846153846,0.3851453846153846,62.196585384615375,60.10436999999999,61.576256923076926,1.3490971532374112,122.53091024483864,1.617972221280879,1.8257692034903643,4.585518910303303,0.500702278193494,0.9962951418582078,2.056700791530009,2.0495027057217685,-0.6734602584749481,4.617972221280879,4.825769203490364,7.585518910303303,3.500702278193494,3.9962951418582078,5.056700791530009,5.0495027057217685,2.326539741525052,-3.0709487834269185,2.5935155375860957,-3.543782041805148,-2.321017503975036,0.39612290845656495,-2.454030161341548,3.034917892259039,1.705344416511348,0.002133797491480306,0.009500024649066253,0.00039443117637869403,0.020285899165839155,0.6920143591662231,0.014126513226480125,0.0024060117860629352,0.08813020830370862,2.483789509201646,2.21767229904269,0.5939984036417892,0.22656404560770488,0.5365406556911297,93.81086996786351,85.43466883581733,88.78184291891155,0.5961616184615651,106.24263524869468,2.2698203512159845,2.2503923251656763,0.9392058144694663,2.117765827043367,2.3370114110819893,1.5152010048286868,0.22558,0.08190999999999993,0.09673999999999999,54.88587,67.86346,60.21118,0.06464047138102536,146.40416131026683,5,1,-2,2,-3,2,8,1
838,851,p3,bo,1.90332,2.0827,1.3574199999999998,278.19061,282.57751,499.99237,2.153212215221356,418.18086354503464,-2.0,-0.08276,-0.60327,-250.0,-250.0,-250.0,0.7099186049822895,14.827433209446605,-0.09668,1.99994,0.75415,28.19061,32.57751,249.99237,2.863130820203646,433.00829675448125,-0.6164046153846153,1.016006153846154,-0.11411692307692306,-34.09165692307693,-30.832145384615384,15.11969923076923,1.3352257306628692,120.9399300297783,0.6164046153846153,1.0287384615384616,0.3000476923076923,45.09089538461539,49.04292230769231,89.28210999999997,1.3352257306628692,120.9399300297783,0.034044434653898836,2.89358870382466,0.8679215008905516,4.44902176465335,2.1234576805129732,-0.0004538245224203763,0.884076934880877,0.5581923095254977,3.034044434653899,5.89358870382466,3.8679215008905516,7.44902176465335,5.123457680512973,2.9995461754775796,3.884076934880877,3.5581923095254977,-2.2827772781042444,-0.6959258158667434,1.9765080093561078,-3.5206952231502275,-2.9508323976746365,0.06371218179304966,2.5643040780512996,2.1676171185850874,0.022443491043803485,0.4864752890523789,0.04809726951727524,0.0004304170240421649,0.00316918835405299,0.9491994047875065,0.010338292770630919,0.030187830187003398,2.4773476854143595,2.1009065427088145,0.6471371712825814,0.4208496117386729,0.35119031856255806,69.13185387001036,77.92108527703057,128.44415264003953,0.6013764451966386,122.73471386560776,2.431755848231952,1.7634229751478507,1.8221162543372968,0.6939571652389465,2.11050652591897,1.9028866967840843,0.47467000000000004,0.059819999999999984,0.16021000000000002,53.41339,44.174189999999996,89.72931,0.13382964372288497,155.20549645383662,4,1,-3,-4,-3,2,1,7
848,861,p3,bo,1.79798,1.38617,2.55768,236.37391,428.88641,453.03345,2.13170380316825,345.32379966231446,-1.16083,0.61377,-0.55774,-189.32343,-250.0,-203.04108,0.7675168041157144,9.429046000577154,0.63715,1.99994,1.99994,47.05048,178.88641,249.99237,2.8992206072839646,354.7528456628916,-0.2390846153846154,1.0392923076923077,-0.02708923076923076,-13.68185307692308,-20.365201538461534,-1.4531061538461527,1.2210612868129802,105.40490880207753,0.3371076923076923,1.0392923076923077,0.3691692307692308,35.71789153846153,61.10264615384615,65.77359692307692,1.2210612868129802,105.40490880207753,1.4976606453798702,5.210001912452922,6.0836534848039765,2.968846104927475,1.4667163121082174,0.9909809115203143,5.44976869215078,-0.32364661461883726,4.49766064537987,8.210001912452922,9.083653484803976,5.968846104927475,4.466716312108217,3.9909809115203143,8.44976869215078,2.6763533853811627,-0.47382446658368155,3.557702726454986,3.974351721858605,-3.16370997153524,-0.8601403868199273,0.2523156356158141,3.877295181686439,2.049545346840815,0.635625085844878,0.00037411235234985785,7.057121093057856e-05,0.0015577194182647184,0.3897116608367487,0.8007971035531867,0.00010562418042930286,0.04040881838292007,2.4939270647121226,2.0302225040696484,0.39035844639383166,0.3018027729687016,0.6161669510581782,60.03804775876204,93.44669952416642,107.6454339463243,0.51976865664567,115.83714229631371,1.9580742158186155,1.3616825398535617,1.1558792850854611,1.6670363540032647,2.1867639354732216,0.6473522967989812,0.2088,0.08057000000000003,0.2602,20.06531,97.68675999999999,31.59332,0.13321449818599462,86.45220111293256,-1,1,7,2,-2,1,1,-4
872,885,p3,bo,1.93005,1.35846,3.21985,290.95459,306.25153,351.96686,2.1557310785705397,346.07418975018555,-2.0,0.64148,-2.0,-250.0,-56.25916,-250.0,0.9359936769017193,10.774582924220315,-0.06995,1.99994,1.21985,40.95459,249.99237,101.96686,3.091724755472259,356.8487726744059,-0.4655338461538462,1.0463530769230767,-0.28379846153846155,-41.19931692307692,40.294940769230784,-19.116327692307692,1.3501918853628168,118.5686438354097,0.4655338461538462,1.0463530769230767,0.5211415384615384,54.0789076923077,62.996497692307685,60.86789692307692,1.3501918853628168,118.5686438354097,2.38055848853892,4.816284501051008,1.6982901091638292,0.9462758110325908,0.6210613091786712,2.175891616981766,1.8611142730945174,0.1724051200105987,5.38055848853892,7.816284501051008,4.698290109163829,3.946275811032591,3.621061309178671,5.175891616981766,4.861114273094517,3.1724051200105987,-3.086191137636999,3.476941414054836,-0.8144775597691355,-2.661157299128733,2.14036593845585,-2.312074715961545,3.1229345582737116,2.268364810893212,0.0020273845177000978,0.0005071686253402964,0.41537142253300574,0.00778725678798554,0.03232520496576542,0.02077356623374069,0.0017905755627754263,0.0233069806919958,2.468034993428484,2.223001726074419,0.5413904891969376,0.3031364168003121,0.6950639154987132,86.44688113443293,84.92555511818803,82.67696153577546,0.6612179357708147,105.58820856888643,2.3972753210938675,2.0972911403276524,1.4830938068080002,2.5350718519446986,2.000574210049382,1.369607663054534,0.42517000000000005,0.052790000000000004,0.22784000000000001,37.803650000000005,82.22961000000001,74.24164,0.18031521090313563,61.31928904950228,5,-1,-2,1,-1,4,-1,-4
885,898,p3,bo,2.00525,2.09259,1.17499,330.94025,309.74579,499.99237,2.160833624067151,405.07672765831035,-2.0,-0.09265,-0.50836,-122.36023,-250.0,-250.0,0.6798544639847561,5.412991824915312,0.00525,1.99994,0.66663,208.58002,59.74579,249.99237,2.840688088051907,410.48971948322566,-0.42824461538461533,1.0136961538461537,-0.07171153846153847,0.8286707692307698,-15.004086153846153,-7.198628461538462,1.2430274060954185,102.88519933213364,0.42928769230769226,1.0279499999999997,0.2492023076923077,51.00778461538461,48.120352307692315,59.978777692307695,1.2430274060954185,102.88519933213364,1.815880752728778,2.8712611933955916,0.859492707011865,1.217373736314257,3.9110451851676062,2.2112671653632185,4.004002196299369,1.5020527615413473,4.815880752728778,5.871261193395592,3.859492707011865,4.217373736314257,6.911045185167606,5.2112671653632185,7.004002196299369,4.502052761541347,-2.9694811946911246,-0.744460948168889,1.9961750086406882,1.9017067693979948,-3.378275287488358,0.3280456468342931,3.4608815365247088,2.7652900549033443,0.0029830306997759566,0.45659765835695465,0.04591487671652928,0.057209500390419415,0.0007294202016390908,0.7428771493696799,0.0005384096825049019,0.005687220091951686,2.4928081033820275,2.067199256569148,0.5807512400942472,0.4232108272487741,0.2910392146151219,81.89351199804166,76.76634323744304,104.0422646978665,0.5216147879307135,114.52806167727387,2.290567759524386,1.6870816683756027,1.98517591474946,2.1610140439243803,2.199001509192256,0.43370061147862354,0.31035999999999997,0.14739999999999998,0.22784,19.165039999999998,59.73815999999999,35.64453,0.17861991136524025,103.6266067801522,-6,1,4,1,3,2,1,4
897,910,p3,bo,1.91754,2.02747,2.26526,283.71429,441.16211,499.99237,1.7982970415481492,429.06468713252633,-1.9389,-0.02753,-1.50745,-250.0,-191.16974,-250.0,0.9250100352428615,3.9392044394014385,-0.02136,1.99994,0.75781,33.71429,249.99237,249.99237,2.7233070767910106,433.0038915719278,-0.4588092307692308,0.9956099999999999,-0.35112,-42.98694384615385,7.185716153846154,14.235862307692305,1.3429654974529468,133.7076144703732,0.4588092307692308,0.9998453846153846,0.46994153846153836,55.16110846153846,72.16468076923077,82.15742846153846,1.3429654974529468,133.7076144703732,1.2839088642065963,2.0839995097982253,0.8526605487908734,0.6017767683417405,0.39479841959025164,0.2960458234053358,1.0622848021263414,-0.8576645639111935,4.283908864206596,5.083999509798225,3.8526605487908734,3.6017767683417405,3.3947984195902516,3.296045823405336,4.062284802126341,2.1423354360888065,-2.6707790473948436,-0.14707143227746455,-1.1205121310832287,-2.45298733072958,0.5977932070591102,0.18497907962634025,2.7638668795885657,1.491951784391888,0.0075675441909822255,0.8830756383897848,0.26249558600656087,0.014167532839905697,0.5499779238072224,0.853245444435712,0.005712083768083588,0.13571178570461875,2.4912631231194617,2.00842831937718,0.556306601289136,0.4241700826138206,0.5484779481577948,84.26650659266656,109.71714159559409,129.30174145036503,0.5583005128314698,141.7112596143943,2.2942625456559695,2.1665796360361482,1.4515009914739523,2.041121954315194,1.4015861803197773,2.0341919333060887,0.38361,0.09880999999999995,0.14203,75.95063,41.57257,29.48761,0.3413606549487469,229.24973556417027,2,2,-2,2,-2,2,-1,4
900,913,p3,bo,1.91754,2.02747,2.26526,283.71429,441.16211,499.99237,1.7982970415481492,429.06468713252633,-1.9389,-0.02753,-1.50745,-250.0,-191.16974,-250.0,0.9250100352428615,3.9392044394014385,-0.02136,1.99994,0.75781,33.71429,249.99237,249.99237,2.7233070767910106,433.0038915719278,-0.4248738461538461,0.9901399999999998,-0.36607384615384614,-45.3103876923077,12.056791538461539,11.625435384615388,1.3329930285027685,131.03736948301565,0.4248738461538461,0.9943753846153845,0.48266,54.228561538461534,70.23503153846154,81.7841753846154,1.3329930285027685,131.03736948301565,1.2386237246736833,2.0840796275958144,0.9663620680690235,0.648860769881737,0.4638189500156207,0.2852676566761936,1.0362137355280208,-0.8839105292234235,4.238623724673683,5.084079627595814,3.9663620680690235,3.648860769881737,3.4638189500156207,3.2852676566761936,4.036213735528021,2.1160894707765765,-2.6989480285161904,-0.0728623058266933,-1.0456429691565603,-2.465619330922627,0.3868309680984985,0.29969762990145077,2.7545024464353522,1.4782327435869964,0.00695590382116397,0.9419156897743922,0.29572590276087063,0.0136776607357804,0.6988813493546617,0.7644078066224094,0.0058781450507607086,0.13934549253389816,2.488845003029504,1.9620443502604454,0.5710826841324961,0.4241073705851095,0.5417981400504528,82.9729254436178,108.73935596304777,129.50796517884234,0.5635444703030731,143.67958427896934,2.2524453784340137,2.1877527607776934,1.4533539548134504,2.0416964308214585,1.4008978787731863,2.036080149547339,0.41687,0.08386000000000005,0.14989999999999998,63.88855,47.88971,31.42548,0.3498176014639627,241.65637127001045,2,2,-2,2,-2,2,-1,4
915,928,p3,bo,1.91687,1.1864,2.35858,279.59442,405.15137,465.89661,2.38197152387751,413.1864594646228,-2.0,0.81354,-1.88922,-250.0,-155.159,-243.69049,1.0193388430252228,4.391970083254211,-0.08313,1.99994,0.46936,29.59442,249.99237,222.20612,3.4013103669027327,417.578429547877,-0.49255846153846156,1.1005715384615384,-0.3133961538461538,-44.175368461538476,24.06311,0.24707384615384434,1.3808550819203167,124.53245670709546,0.49255846153846156,1.1005715384615384,0.43417923076923076,56.472777692307695,73.27270538461538,60.2117676923077,1.3808550819203167,124.53245670709546,1.347776181900791,5.621212078056601,3.062328342353635,0.48876867994411244,0.17003937337040798,1.5664692007789016,3.688400691664693,-0.29166318063559826,4.347776181900791,8.621212078056601,6.062328342353635,3.4887686799441124,3.170039373370408,4.566469200778902,6.688400691664693,2.7083368193644017,-2.963625891242072,3.867831765038156,-2.741001370923546,-2.5654470837771415,1.7275756093607515,-0.45412229198624804,3.503519428732312,1.8547838841151698,0.0030403766904188736,0.00010980737711961493,0.006125225193219362,0.010304293731902827,0.0840643387922293,0.649740809405114,0.00045915315949265,0.0636270943090557,2.4727013485301605,1.9719552535061553,0.6559895161433152,0.2773298911972514,0.5410834904371677,95.18376975849053,111.62560605093171,100.95997478791101,0.667333049346591,136.8771974231515,2.3190558229318254,2.323356903626337,1.0202587701218169,2.183270208037457,1.7150072283476938,1.6867456609456846,0.33654,0.07056000000000007,0.08288999999999999,29.67072,38.52081,24.31488,0.13932854142977957,148.18750831647404,-1,2,-2,2,-3,2,5,6
